名称,价格,简介,元素,难度,时长,人员配置,人员,,,,,,,,,
年夜饭,￥98,“一年一度的除夕夜又来啦！家家户户迎新春，忙碌了一整年是时候休息庆祝一番啦！今年的老李家似乎格外的热闹！突然想起小时候奶奶给我说的故事，从前有座山，山里面有个…”,"['桌面', '现代', '欢乐', '开放', '变格', '盒装']",进阶,3,4男6女,10,,,,,,,,,
X计划,￥98,“当你来到一个陌生的环境，环顾四周，似置身于牢狱之中。随着大门敞开的刹那，你来到一处明亮的场所，你又惊愕地发现除了你之外还有五个人，而这五个人看似熟悉，却有一股陌生感。随后，你们在相识之后，又意识到一个问题，是你的记忆发生了偏差？”,"['桌面', '现代', '阵营', '推理', '开放', '变格', '盒装']",进阶,4,7男3女,10,,,,,,,,,
人在天庭朝九晚五,￥68,“混沌初分，天干地支刚定时，玉皇大帝下令普召天下动物，要按子、丑、寅、卯、辰、巳、午、未、申、酉、戌、亥十二地支，选拔十 二个属相以定时间。”,"['桌面', '机制', '欢乐', '变格', '盒装']",新手,4.5,5男6女,11,,,,,,,,,
赛尔城下,￥58,“组伴一起去“指环王”世界冒险吧！”当你翻开剧本|剧情中出现的多种族让你仿佛有种置身奇幻大陆的感觉|环环相扣的剧情让你无法停下脚步去慢慢细品这个世界|因为危险正悄然而至！剧本中的机制和阵营搭配很是巧妙|你不仅要排兵布阵还要考量对方是虚情假意还是真心实意加入你的阵营。在欢乐激烈的厮杀时|你要小心老骗子又在心里藏着某些坏心眼啦！背负族人的希望去迎接面前的战斗吧！,"['桌面', '机制', '还原', '盒装']",进阶,5,8男3女,11,,,,,,,,,
一朵海棠,￥168,“在一处悬崖上，有一朵海棠花在风中摇曳，没有人知道它为什么会生长在那个地方，也没有人知道它即将败落，阳光奇怪的洒落在半朵海棠花上，光与影交融成了灰色。”,"['桌面', '现代', '推理', '本格', '城限']",进阶,6,6男5女,11,,,,,,,,,
人生成长教室,￥198,“那拥挤、闷热的地方，却是我们以后再也回不去的。”《人生成长教室》是一个5-11人的剧本，人数设置的宽泛性给剧本增添了多元化色彩。在这里你可以和别人组队做任务，也可以选择单人完成。推理环节合理且缜密，凶案也有迹可循，最后脑子里不断地浮现出“这不会就是真相”吧？,"['桌面', '现代', '推理', '本格', '城限']",烧脑,4,5男6女,11,,,,,,,,,
当我有罪时,￥138,幸福的人用童年治愈一生，不幸的人用一生治愈童年。这是一个5-12人的剧本，却依然能保证每位玩家都不会有边缘体验。在你盘出每个案子的时候，都会有满满的成就感。在其中又可以感受到人物的情感和性格的变化，更直观地理解到剧本所要表达的立意。而一个个的案子在最后又巧妙地串联到了主线之上，加上最后的演绎环节，起到了画龙点睛的反转效果。我们听到的一切都是一个观点，不是事实；我们看到的一切都是一个视角，不是真相。,"['桌面', '现代', '推理', '本格', '城限']",烧脑,5,6男6女,12,,,,,,,,,
你的江湖我做主,￥128,可增加DLC“今番良晤，豪兴不浅，他日江湖相逢，再当杯酒言欢。”什么是江湖？是那白衣少年马折花，是那潇洒侠士快意恩仇，是那白发老者走遍天下但求一败，是那痴情少女寻遍山河柔肠寸断......本作开局惊堂拍案，瞬间茶楼说书氛围起，让你代入到作者笔下的江湖中。客栈、怡春院、赌场，你永远不知道即将到来的会是什么。高自由度的机制，精妙的跑团设定，给予你充足的发挥空间，你的情绪也将随着剧情推进愈发高涨。你的江湖，你能做主吗？,"['桌面', '古风', '机制', '武侠', '开放', '城限']",新手,4,9男4女,13,,,,,,,,,
鹤归明月之鸟人杀,￥98,“朝夕相处之人未必可靠，兵戈相向也说不定是故友重逢，最终又会是哪位天选之人继承城主之位呢？”,"['桌面', '古风', '阵营', '玄幻', '本格', '盒装']",新手,3.5,7男5女,12,,,,,,,,,
植物凶猛,￥128,植物设定“当植物变得凶猛，一定是因为有人侵犯了他们最宝贵的东西。”你作为魔法森林的植物，一直被生命之树守护着，而这次为了阻止邪恶的巫师，你将勇敢的守护生命之树的宝物。《植物凶猛》没有特定的人物个性，你可以根据自己的个性，在森林里最大限度的自由发挥。这是狼人杀玩家的盛宴、阿瓦隆玩家的必备、资深老骗子的最爱、欺诈本玩家的乐园。什么是快乐植物？如果你想知道，那现在就快冲吧！,"['桌面', '架空', '机制', '欢乐', '开放', '城限']",进阶,3.5,6男6女,12,,,,,,,,,
秘密访客,￥98,“清晨，几名警员被紧急召集到了警局中，而放在他们面前的是一份正常的车祸事故档案，而不同的是，事故幸存者却于事故发生的第二日自杀身亡。而奇怪的是，探长这时却给大家拿出来一份看似与这个案件毫不相关的一个档案。”,"['桌面', '现代', '推理', '还原', '盒装']",烧脑,4,6男6女,12,,,,,,,,,
侯爷做主呀,￥88,“夏国将军卫无忌，力拔山兮盖世气，一马当先大旗举，万军之中取首级，边关再无战报急，国泰民安小儿嬉。”,"['桌面', '古风', '阵营', '欢乐', '半封闭', '还原', '盒装']",进阶,3.5,5男7女,12,,,,,,,,,
汇通天下,￥68,“晋南一带地窄人稠，外出经商成为当地百姓的谋生之道。待到明清年间，晋商已遍及各地，故有言道："京师大贾数晋人"。”,"['桌面', '民国', '机制', '阵营', '本格', '盒装']",新手,4,13男7女,20,,,,,,,,,
刺客群聊,￥158,“处在崩溃边缘的 M 国里，有一座被抛弃的城市——晨旭市。城市在黑暗中下沉，人性也跟着跌落到谷底。生活在谷底的晨旭市民们，慢慢创造了一个阴影中的世界，这里黑白交融，罪案频发，帮派横行，混乱而有序，罪恶紧紧贴在了这座古城的背面。”,"['桌面', '现代', '机制', '还原', '城限']",进阶,4.5,6男6女,12,,,,,,,,,
千门之王,￥98,“传闻千门传承大禹之术，八将携手大可窃国。近日，当代千王姜城宣布金盆洗手，千重阁摆宴考验。千门含局三十六，生死豪赌，谁将是新的千门之王。”,"['桌面', '现代', '阵营', '欢乐', '开放', '本格', '盒装']",进阶,4,8男8女,16,,,,,,,,,
汤姆小镇,￥59,“20世纪50年代的美国小镇: 今晚弗洛餐厅是一个不得不去的地方，因为小镇年度舞蹈大赛将在这里举办。许多社会知名人士都会出席舞会并担任评审，因而不论本地人还是外地人都热切渴望能够参加本次舞蹈大赛。”,"['桌面', '欧式', '阵营', '欢乐', '封闭', '本格', '盒装']",新手,4,10男10女,14-20,,,,,,,,,
来日纵使千千阙歌,￥88,“十年 太多的人还在心上 却早已消失在了生活里 徐徐回望 哥哥一首《千千阙歌》 唱得每场分手。 ”,"['桌面', '现代', '欢乐', '情感', '开放', '盒装']",进阶,5,6男6女,12,,,,,,,,,
